+-----+------+-------+-----+------+--------+----------+---------------+
| id  | year | month | day | hour | minute | activity | license_plate |
+-----+------+-------+-----+------+--------+----------+---------------+
| 1   | 2021 | 7     | 25  | 7    | 1      | entrance | 0R0FW39       |
| 2   | 2021 | 7     | 25  | 7    | 31     | entrance | 97O6H62       |
| 3   | 2021 | 7     | 25  | 7    | 58     | entrance | 5840J5X       |
| 4   | 2021 | 7     | 25  | 8    | 5      | entrance | JUP02H1       |
| 5   | 2021 | 7     | 25  | 8    | 6      | entrance | TWA51P1       |
| 6   | 2021 | 7     | 25  | 8    | 11     | entrance | 50U175Y       |
| 7   | 2021 | 7     | 25  | 8    | 22     | entrance | HW0BF87       |
| 8   | 2021 | 7     | 25  | 8    | 25     | entrance | 5209A97       |
| 9   | 2021 | 7     | 25  | 8    | 28     | entrance | C3S4W87       |
| 10  | 2021 | 7     | 25  | 8    | 30     | entrance | B49OR81       |
| 11  | 2021 | 7     | 25  | 8    | 39     | entrance | Q13SVG6       |
| 12  | 2021 | 7     | 25  | 8    | 45     | entrance | 130LD9Z       |
| 13  | 2021 | 7     | 25  | 8    | 51     | entrance | Z5FH038       |
| 14  | 2021 | 7     | 25  | 9    | 7      | entrance | 91S1K32       |
| 15  | 2021 | 7     | 25  | 9    | 9      | entrance | KGG82IR       |
| 16  | 2021 | 7     | 25  | 9    | 24     | entrance | 91UQ3NC       |
| 17  | 2021 | 7     | 25  | 9    | 31     | entrance | P160306       |
| 18  | 2021 | 7     | 25  | 9    | 43     | entrance | 5CIO816       |
| 19  | 2021 | 7     | 25  | 9    | 48     | entrance | 82456Y8       |
| 20  | 2021 | 7     | 25  | 9    | 50     | entrance | 9XPY28H       |
| 21  | 2021 | 7     | 25  | 9    | 55     | entrance | N507616       |
| 22  | 2021 | 7     | 25  | 10   | 38     | exit     | 5209A97       |
| 23  | 2021 | 7     | 25  | 10   | 49     | entrance | 5810O6V       |
| 24  | 2021 | 7     | 25  | 10   | 54     | entrance | 8BB36NX       |
| 25  | 2021 | 7     | 25  | 11   | 3      | entrance | WD5M8I6       |
| 26  | 2021 | 7     | 25  | 11   | 3      | entrance | FA63H32       |
| 27  | 2021 | 7     | 25  | 11   | 18     | entrance | SS458D7       |
| 28  | 2021 | 7     | 25  | 11   | 40     | entrance | V47T75I       |
| 29  | 2021 | 7     | 25  | 11   | 52     | entrance | V4C670D       |
| 30  | 2021 | 7     | 25  | 12   | 16     | entrance | B3VSJVF       |
| 31  | 2021 | 7     | 25  | 12   | 50     | entrance | 7T807V5       |
| 32  | 2021 | 7     | 25  | 12   | 50     | entrance | 1M92998       |
| 33  | 2021 | 7     | 25  | 12   | 56     | entrance | RS7I6A0       |
| 34  | 2021 | 7     | 25  | 13   | 23     | exit     | 8BB36NX       |
| 35  | 2021 | 7     | 25  | 13   | 37     | exit     | 5810O6V       |
| 36  | 2021 | 7     | 25  | 13   | 40     | exit     | TWA51P1       |
| 37  | 2021 | 7     | 25  | 13   | 46     | exit     | B3VSJVF       |
| 38  | 2021 | 7     | 25  | 13   | 55     | exit     | V4C670D       |
| 39  | 2021 | 7     | 25  | 13   | 56     | exit     | 5840J5X       |
| 40  | 2021 | 7     | 25  | 14   | 2      | exit     | 130LD9Z       |
| 41  | 2021 | 7     | 25  | 14   | 3      | exit     | B49OR81       |
| 42  | 2021 | 7     | 25  | 14   | 7      | exit     | 82456Y8       |
| 43  | 2021 | 7     | 25  | 14   | 13     | exit     | SS458D7       |
| 44  | 2021 | 7     | 25  | 14   | 16     | exit     | 7T807V5       |
| 45  | 2021 | 7     | 25  | 14   | 26     | exit     | N507616       |
| 46  | 2021 | 7     | 25  | 14   | 30     | exit     | WD5M8I6       |
| 47  | 2021 | 7     | 25  | 14   | 32     | exit     | 5CIO816       |
| 48  | 2021 | 7     | 25  | 14   | 53     | exit     | 97O6H62       |
| 49  | 2021 | 7     | 25  | 15   | 1      | exit     | C3S4W87       |
| 50  | 2021 | 7     | 25  | 15   | 4      | exit     | 1M92998       |
| 51  | 2021 | 7     | 25  | 15   | 30     | exit     | RS7I6A0       |
| 52  | 2021 | 7     | 25  | 15   | 55     | exit     | V47T75I       |
| 53  | 2021 | 7     | 25  | 16   | 0      | exit     | HW0BF87       |
| 54  | 2021 | 7     | 25  | 16   | 1      | exit     | P160306       |
| 55  | 2021 | 7     | 25  | 16   | 8      | exit     | 9XPY28H       |
| 56  | 2021 | 7     | 25  | 16   | 21     | exit     | Q13SVG6       |
| 57  | 2021 | 7     | 25  | 16   | 23     | exit     | 0R0FW39       |
| 58  | 2021 | 7     | 25  | 16   | 43     | exit     | Z5FH038       |
| 59  | 2021 | 7     | 25  | 16   | 59     | exit     | KGG82IR       |
| 60  | 2021 | 7     | 25  | 17   | 26     | exit     | FA63H32       |
| 61  | 2021 | 7     | 25  | 17   | 31     | exit     | 91S1K32       |
| 62  | 2021 | 7     | 25  | 17   | 39     | exit     | 50U175Y       |
| 63  | 2021 | 7     | 25  | 17   | 50     | exit     | 91UQ3NC       |
| 64  | 2021 | 7     | 25  | 17   | 54     | exit     | JUP02H1       |
| 65  | 2021 | 7     | 26  | 8    | 14     | entrance | 2BDU20B       |
| 66  | 2021 | 7     | 26  | 8    | 23     | entrance | 30G67EN       |
| 67  | 2021 | 7     | 26  | 8    | 59     | entrance | PF37ZVK       |
| 68  | 2021 | 7     | 26  | 9    | 1      | entrance | X273ZK9       |
| 69  | 2021 | 7     | 26  | 9    | 10     | entrance | 5209A97       |
| 70  | 2021 | 7     | 26  | 9    | 16     | entrance | 1FW4EUJ       |
| 71  | 2021 | 7     | 26  | 9    | 17     | entrance | 5840J5X       |
| 72  | 2021 | 7     | 26  | 9    | 26     | entrance | 9Y0JT4U       |
| 73  | 2021 | 7     | 26  | 9    | 45     | entrance | 7T807V5       |
| 74  | 2021 | 7     | 26  | 9    | 48     | entrance | 7Z8B130       |
| 75  | 2021 | 7     | 26  | 10   | 1      | entrance | P45A66L       |
| 76  | 2021 | 7     | 26  | 10   | 8      | entrance | 3899SY4       |
| 77  | 2021 | 7     | 26  | 10   | 12     | entrance | 2M2Y681       |
| 78  | 2021 | 7     | 26  | 10   | 13     | entrance | KGG82IR       |
| 79  | 2021 | 7     | 26  | 10   | 17     | entrance | N7M42GP       |
| 80  | 2021 | 7     | 26  | 10   | 30     | entrance | 8LLB02B       |
| 81  | 2021 | 7     | 26  | 10   | 30     | entrance | N507616       |
| 82  | 2021 | 7     | 26  | 10   | 30     | entrance | 0R0FW39       |
