+----+-------------------+------------------------+------+-------+-----+------+--------+
| id | origin_airport_id | destination_airport_id | year | month | day | hour | minute |
+----+-------------------+------------------------+------+-------+-----+------+--------+
| 1  | 8                 | 7                      | 2021 | 7     | 28  | 17   | 50     |
| 2  | 2                 | 8                      | 2021 | 7     | 30  | 12   | 44     |
| 3  | 1                 | 8                      | 2021 | 7     | 26  | 13   | 56     |
| 4  | 1                 | 8                      | 2021 | 7     | 28  | 9    | 28     |
| 5  | 8                 | 3                      | 2021 | 7     | 27  | 11   | 45     |
| 6  | 8                 | 5                      | 2021 | 7     | 28  | 13   | 49     |
| 7  | 8                 | 1                      | 2021 | 7     | 30  | 18   | 5      |
| 8  | 8                 | 2                      | 2021 | 7     | 30  | 20   | 56     |
| 9  | 2                 | 8                      | 2021 | 7     | 27  | 16   | 48     |
| 10 | 8                 | 4                      | 2021 | 7     | 30  | 13   | 55     |
| 11 | 8                 | 12                     | 2021 | 7     | 30  | 13   | 7      |
| 12 | 2                 | 8                      | 2021 | 7     | 30  | 18   | 57     |
| 13 | 3                 | 8                      | 2021 | 7     | 26  | 15   | 37     |
| 14 | 5                 | 8                      | 2021 | 7     | 26  | 12   | 8      |
| 15 | 8                 | 1                      | 2021 | 7     | 27  | 7    | 54     |
| 16 | 8                 | 2                      | 2021 | 7     | 26  | 20   | 44     |
| 17 | 8                 | 4                      | 2021 | 7     | 28  | 20   | 16     |
| 18 | 8                 | 6                      | 2021 | 7     | 29  | 16   | 0      |
| 19 | 2                 | 8                      | 2021 | 7     | 28  | 21   | 15     |
| 20 | 6                 | 8                      | 2021 | 7     | 28  | 15   | 22     |
| 21 | 3                 | 8                      | 2021 | 7     | 26  | 17   | 58     |
| 22 | 1                 | 8                      | 2021 | 7     | 28  | 12   | 51     |
| 23 | 8                 | 11                     | 2021 | 7     | 29  | 12   | 15     |
| 24 | 7                 | 8                      | 2021 | 7     | 30  | 16   | 27     |
| 25 | 5                 | 8                      | 2021 | 7     | 27  | 14   | 33     |
| 26 | 2                 | 8                      | 2021 | 7     | 27  | 13   | 32     |
| 27 | 5                 | 8                      | 2021 | 7     | 28  | 8    | 35     |
| 28 | 3                 | 8                      | 2021 | 7     | 26  | 22   | 49     |
| 29 | 8                 | 11                     | 2021 | 7     | 27  | 14   | 48     |
| 30 | 8                 | 1                      | 2021 | 7     | 26  | 7    | 16     |
| 31 | 8                 | 3                      | 2021 | 7     | 30  | 20   | 21     |
| 32 | 5                 | 8                      | 2021 | 7     | 27  | 19   | 20     |
| 33 | 6                 | 8                      | 2021 | 7     | 28  | 17   | 58     |
| 34 | 8                 | 5                      | 2021 | 7     | 28  | 17   | 20     |
| 35 | 8                 | 4                      | 2021 | 7     | 28  | 16   | 16     |
| 36 | 8                 | 4                      | 2021 | 7     | 29  | 8    | 20     |
| 37 | 8                 | 3                      | 2021 | 7     | 27  | 7    | 37     |
| 38 | 8                 | 6                      | 2021 | 7     | 26  | 14   | 35     |
| 39 | 5                 | 8                      | 2021 | 7     | 27  | 22   | 37     |
| 40 | 7                 | 8                      | 2021 | 7     | 28  | 13   | 47     |
| 41 | 3                 | 8                      | 2021 | 7     | 28  | 14   | 14     |
| 42 | 4                 | 8                      | 2021 | 7     | 30  | 13   | 22     |
| 43 | 8                 | 1                      | 2021 | 7     | 29  | 9    | 30     |
| 44 | 8                 | 3                      | 2021 | 7     | 30  | 13   | 19     |
| 45 | 8                 | 2                      | 2021 | 7     | 27  | 13   | 35     |
| 46 | 8                 | 10                     | 2021 | 7     | 26  | 15   | 31     |
| 47 | 4                 | 8                      | 2021 | 7     | 30  | 9    | 46     |
| 48 | 5                 | 8                      | 2021 | 7     | 30  | 18   | 28     |
| 49 | 8                 | 6                      | 2021 | 7     | 27  | 8    | 5      |
| 50 | 8                 | 6                      | 2021 | 7     | 26  | 9    | 16     |
| 51 | 4                 | 8                      | 2021 | 7     | 28  | 18   | 3      |
| 52 | 3                 | 8                      | 2021 | 7     | 27  | 22   | 19     |
| 53 | 8                 | 9                      | 2021 | 7     | 29  | 15   | 20     |
| 54 | 8                 | 5                      | 2021 | 7     | 30  | 10   | 19     |
| 55 | 8                 | 4                      | 2021 | 7     | 26  | 21   | 44     |
| 56 | 4                 | 8                      | 2021 | 7     | 26  | 18   | 24     |
| 57 | 3                 | 8                      | 2021 | 7     | 30  | 14   | 30     |
| 58 | 3                 | 8                      | 2021 | 7     | 30  | 11   | 35     |
+----+-------------------+------------------------+------+-------+-----+------+--------+
